id,user_id,product_id,rating,comment,reviewed_at
1,1,1,5,"Excellent mouse, very responsive!",2024-02-05 10:00:00
2,1,7,4,"Great cookbook, well organized",2024-02-05 10:30:00
3,1,13,3,,2024-02-05 11:00:00
4,2,2,5,Best keyboard I've owned,2024-02-06 09:00:00
5,2,8,4,Solid SQL reference,2024-02-06 09:30:00
6,2,14,4,Good quality denim,2024-02-06 10:00:00
7,3,3,5,Great value HDMI cable,2024-02-07 08:00:00
8,3,9,3,Okay for beginners,2024-02-07 08:30:00
9,3,15,5,Amazing running shoes!,2024-02-07 09:00:00
10,4,4,4,Clear picture quality,2024-02-08 13:00:00
11,4,10,5,Must read for developers,2024-02-08 13:30:00
12,4,16,4,Warm and stylish,2024-02-08 14:00:00
13,5,5,2,Battery life disappointing,2024-02-09 09:00:00
14,5,11,3,,2024-02-09 09:30:00
15,6,6,4,Fast charging,2024-02-09 12:00:00
16,6,12,5,Comprehensive algorithms book,2024-02-09 12:30:00
17,6,18,3,Decent belt,2024-02-09 13:00:00
18,7,1,4,Good mouse for the price,2024-02-10 09:00:00
19,7,7,5,Love the recipes!,2024-02-10 09:30:00
20,7,13,4,Comfortable cotton,2024-02-10 10:00:00
21,8,2,3,Keys feel a bit mushy,2024-02-10 14:00:00
22,8,8,4,Good for SQL learners,2024-02-10 14:30:00
23,8,14,5,Perfect fit!,2024-02-10 15:00:00
24,9,3,4,Works well,2024-02-10 08:00:00
25,9,9,2,Too basic for me,2024-02-10 08:30:00
26,10,4,5,Excellent webcam,2024-02-11 11:00:00
27,10,10,4,Classic book,2024-02-11 11:30:00
28,10,16,3,A bit pricey,2024-02-11 12:00:00
29,11,5,4,Good sound quality,2024-02-12 09:00:00
30,11,11,5,Essential reading,2024-02-12 09:30:00
31,11,17,3,Keeps me warm,2024-02-12 10:00:00
32,12,6,5,Works perfectly,2024-02-12 13:00:00
33,12,12,4,Dense but rewarding,2024-02-12 13:30:00
34,12,18,4,Nice leather quality,2024-02-12 14:00:00
35,13,1,5,Great mouse!,2024-02-13 09:00:00
36,13,7,3,Some recipes too complex,2024-02-13 09:30:00
37,14,2,4,Good keyboard,2024-02-13 14:00:00
38,14,8,5,Best SQL book ever,2024-02-13 14:30:00
39,16,4,4,Good webcam for meetings,2024-02-14 10:00:00
40,16,10,5,Changed how I code,2024-02-14 10:30:00
41,17,5,3,Average speaker,2024-02-14 15:00:00
42,17,11,4,Very informative,2024-02-14 15:30:00
43,18,6,5,Best charger,2024-02-15 10:00:00
44,18,12,4,,2024-02-15 10:30:00
45,19,1,4,Solid wireless mouse,2024-02-16 09:00:00
46,19,7,5,Learned so much!,2024-02-16 09:30:00
47,20,2,4,Reliable keyboard,2024-02-16 14:00:00
48,20,8,3,Good but dated,2024-02-16 14:30:00
49,15,1,4,Nice mouse,2024-02-17 08:00:00
50,9,30,5,Great racket,2024-02-17 09:00:00
